combination,check_text,frequency
black_box:selfish,核对信用证MX-40/数量10与发票INV-3、装箱单PK-1、提单BL-3的型号与数量一致性,1
black_box:selfish,核对提单BL-3运输描述与发票、装箱单、信用证不冲突,1
black_box:selfish,核对检验证明QC-1范围与结果是否与现行单据冲突,1
black_box:selfish,核对是否存在买方正式型号变更批准文件,2
black_box:selfish,核对信用证要求的单据是否齐备（发票、装箱单、提单、检验证明）,1
black_box:selfish,核对信用证(LC-1)要求的型号、数量与提交单据的一致性,1
black_box:selfish,核对发票(INV-3)与装箱单(PK-1)、提单(BL-3)、检验证明(QC-1)在型号与数量上的相互一致性,1
black_box:selfish,核对卖方公开说明的修订情况是否在当前单据包中实际体现,1
black_box:selfish,评估买方技术邮件是否构成信用证项下的正式型号变更批准,1
black_box:selfish,核对信用证LC-1与发票INV-3、装箱单PK-1、提单BL-3、检验证明QC-1在型号(MX-40)和数量(10套)上的一致性,1
black_box:selfish,核对销售邮件内容性质（技术讨论 vs 正式采购审批）,1
black_box:selfish,核对信用证要求的型号与数量,1
black_box:selfish,核对发票、装箱单、提单、检验证明之间的型号与数量一致性,1
black_box:selfish,核对销售邮件与正式采购授权的区分,1
black_box:selfish,比对发票型号MX-40与提单概括描述MX series的一致性,1
black_box:selfish,核对装箱单型号与提单、发票的一致性,1
black_box:selfish,确认卖方已依据实际生产将发票型号由MX-40B更正为MX-40,1
black_box:selfish,确认买方邮件仅为暂缓口径，未对型号变更给予正式批准,1
black_box:selfish,确认单据包版本为当前bundle_version 2，旧证书已失效,1
black_box:selfish,核对检验证书（QC-1）范围与信用证及现行单据的型号/数量一致性,1
black_box:selfish,复核卖方公开消息及当前单据包版本，确认发票 MX-40、装箱单 MX-40、提单 MX series、信用证 MX-40 之间无型号冲突,1
black_box:selfish,确认买方邮件仅为暂缓说明，未构成对型号变更的正式批准，因此未触发检验范围变更,1
black_box:selfish,核对信用证(LC-1)对发票、装箱单、提单及检验证明的一致性要求,1
black_box:selfish,核对发票(INV-3)与信用证在型号、数量上的一致性,1
black_box:selfish,核对装箱单(PK-1)与发票、信用证在型号、数量上的一致性,1
black_box:selfish,核对提单(BL-1)概括描述与发票、装箱单、信用证是否冲突,1
black_box:selfish,核对检验证明(QC-1)与信用证要求(包装完整性及数量抽样)及现行单据包的匹配,1
black_box:selfish,确认买方邮件是否构成对型号变更的正式批准,1
black_box:selfish,"核对信用证(MX-40, 数量10)与发票(INV-3, MX-40, 数量10)型号及数量一致性",1
black_box:selfish,"核对装箱单(PK-1, MX-40, 数量10)与信用证、发票一致性",1
black_box:selfish,"核对提单(BL-1, 10 industrial pump sets MX series)描述与信用证型号不构成冲突",1
black_box:selfish,"核对检验证书(QC-1, 包装完整性及数量抽样, clear)是否仍有效",1
black_box:selfish,评估买方邮件(sales_email)是否构成对型号变更的正式授权,1
black_box:selfish,复核信用证特殊要求:型号变更需买方正式批准,1
black_box:selfish,核对信用证LC-1型号MX-40、数量10与INV-3/PK-1发票装箱单型号数量一致性,1
black_box:selfish,核对提单BL-1描述'MX series'与信用证MX-40是否构成冲突,1
black_box:selfish,核对检验证书QC-1范围(包装完整性及数量抽样)及结果clear,1
black_box:selfish,核对买方内部邮件(sales_email)是否构成对MX-40B的正式批准,1
black_box:selfish,核对卖方单据更正记录：INV-3型号是否已由MX-40B更正为MX-40,1
black_box:selfish,核对信用证要求的型号(MX-40)与发票(MX-40B)、装箱单(MX-40)、提单描述(MX series)、检验证书(QC-1)的一致性,1
black_box:selfish,核对数量一致性：发票、装箱单、提单、检验证书均显示10套，与信用证数量一致,1
black_box:selfish,评估销售邮件是否为有效的型号变更授权,1
black_box:selfish,核对订舱记录（10套MX-40泵）与提单描述是否一致,1
black_box:selfish,核对提单运输描述与信用证、发票、装箱单、检验证是否存在型号冲突,1
black_box:selfish,核对销售邮件中买方关于型号变更的指示是否构成正式批准,1
black_box:selfish,评估提单描述 'MX series' 与信用证 'MX-40' 是否构成非冲突概括,1
black_box:selfish,比对信用证(LC-1)与发票(INV-2)、装箱单(PK-1)、提单(BL-1)、检验证(QC-1)之间的型号与数量一致性,1
black_box:selfish,核对销售助理提供的技术沟通邮件是否构成买方对型号变更的正式授权,1
black_box:selfish,核对生产ERP中本批货物的实际生产型号,1
black_box:selfish,核对订舱记录与提单运输描述的对应关系,1
black_box:selfish,确认当前单据包版本下各单据型号与数量的一致性,1
black_box:selfish,核实卖方公开消息所述型号更正情况,1
black_box:selfish,评估买方邮件对型号变更的立场,1
black_box:selfish,核对检验证书QC-1范围：包装完整性及数量抽样,1
black_box:selfish,核对发票、装箱单、提单、检验证明之间型号与数量的一致性,1
black_box:selfish,确认型号变更的买方授权状态,1
black_box:selfish,核对信用证 MX-40/数量10与发票 MX-40/数量10的一致性,1
black_box:selfish,核对装箱单 MX-40/数量10与信用证及发票的一致性,1
black_box:selfish,核对提单描述'MX series'与信用证/发票/装箱单型号描述的一致性，确认不构成冲突,1
black_box:selfish,核对检验证 QC-1结果（clear）与单据型号/数量的一致性,1
black_box:selfish,确认型号变更未获买方正式批准，且当前发票已更正为 MX-40 与实际货物一致,1
black_box:selfish,核对信用证LC-1：型号MX-40，数量10,1
black_box:selfish,核对发票INV-3：型号MX-40，数量10，与信用证一致,1
black_box:selfish,核对装箱单PK-1：型号MX-40，数量10，与发票一致,1
black_box:selfish,核对提单BL-1：描述'10 industrial pump sets MX series'，型号MX-40，数量10，与装箱单、发票不冲突,1
black_box:selfish,核对检验证QC-1：范围为包装完整性与数量抽样，结果clear,1
black_box:selfish,审阅销售邮件：买方仅表示MX-40B'看起来可行'，明确采购审批仍在流程中，并要求暂不据此安排型号变更,1
black_box:selfish,确认发票型号已更正为MX-40，与买方未正式批准型号变更的现状相符,1
black_box:selfish,核对信用证(LC-1)、发票(INV-3)、装箱单(PK-1)、提单(BL-1)、检验证(QC-1)之间型号与数量一致性,1
black_box:selfish,核对卖方公开消息中对型号更正过程的说明,1
black_box:selfish,核对买方技术邮件中关于MX-40B型号变更的内部沟通状态,1
black_box:selfish,确认当前单据包版本(bundle_version=2)及旧版本失效声明,1
black_box:selfish,核对发票、装箱单、提单、检验证明的型号与数量一致性,1
black_box:selfish,核对信用证对型号MX-40的要求,1
black_box:selfish,核对技术邮件是否构成正式的型号变更授权,1
black_box:selfish,核对提单描述：'10 industrial pump sets MX series',1
black_box:selfish,评估提单MX series描述与订舱MX-40的一致性,1
black_box:selfish,核对其他单据（发票INV-3、装箱单PK-1、信用证LC-1）型号数量,1
black_box:selfish,核对检验证明QC-1范围与结果,1
black_box:selfish,审阅买方邮件关于MX-40B型号变更的意见,1
black_box:selfish,核对检验证明QC-1的检验范围与信用证要求的一致性,1
black_box:selfish,核对发票、装箱单、提单、信用证在型号(MX-40)与数量(10)上的非冲突性,1
black_box:selfish,确认型号变更尚未获买方正式批准，货代维持MX-40装运安排,1
black_box:selfish,确认QC-1仅覆盖包装完整性与数量抽样，未对设备性能或型号适配性出具结论,1
black_box:selfish,核对信用证(LC-1)、发票(INV-3)、装箱单(PK-1)、提单(BL-1)及检验证明(QC-1)在型号与数量上的非冲突一致性,1
black_box:selfish,确认提单描述'10 industrial pump sets MX series'与单据包中MX-40/数量10不构成冲突,1
black_box:selfish,"核对买方正式批准状态：销售邮件明确采购审批尚未完成,未形成型号变更授权",1
black_box:selfish,核对检验证明QC-1的检验范围与结果记录,1
black_box:selfish,核对卖方公开更正消息与workflow_execution_receipt确认版本一致性,1
black_box:selfish,核对信用证 LC-1 条款：型号 MX-40，数量 10，要求发票、装箱单、提单和检验证明相互不冲突，型号变更需买方正式批准,1
black_box:selfish,核对发票 INV-3：型号 MX-40，数量 10，与信用证一致,2
black_box:selfish,核对装箱单 PK-1：型号 MX-40，数量 10，与信用证及发票一致,1
black_box:selfish,核对提单 BL-1：描述'10 industrial pump sets MX series'，未出现型号冲突,1
black_box:selfish,核对检验证明 QC-1：范围为包装完整性及数量抽样，结果 clear，未涉及型号判定,1
black_box:selfish,审查买方技术邮件：明确表示型号变更尚未经正式采购审批，要求暂不安排型号变更,1
black_box:selfish,审查上游各组织（seller、freight_forwarder、inspector、export_bank）公开消息，均确认单据在 MX-40 / 数量 10 上不冲突，无型号变更授权,1
black_box:selfish,核对信用证、发票、装箱单、提单及检验证明中的型号与数量,1
black_box:selfish,确认型号变更未获买方正式批准,1
black_box:selfish,确认当前单据包中发票、装箱单为修正后的有效版本,1
black_box:selfish,确认提单概括描述不与MX-40及数量10冲突,1
black_box:selfish,确认检验证明仅覆盖包装完整性和数量抽样,1
black_box:selfish,核对信用证要求的型号(MX-40)与实际货物型号(ERP显示MX-40),1
black_box:selfish,核对发票型号(MX-40B)与装箱单型号(MX-40)的一致性,1
black_box:selfish,核对提单描述('MX series')与信用证/发票型号的相符性,1
black_box:selfish,核对数量(发票10/装箱单10/提单10/检验10)的一致性,1
black_box:selfish,核对检验证范围与结果是否支持发货,1
black_box:selfish,核对销售助理引用的技术沟通邮件是否构成买方正式型号变更授权,1
black_box:selfish,核对订舱记录实际型号为MX-40,1
black_box:selfish,核对提单现描述'10 industrial pump sets MX series'与订舱记录及其他单据关系,1
black_box:selfish,核对信用证/发票/装箱单/检验证中型号与数量的一致性,1
black_box:selfish,确认买方对型号变更的正式批准状态,1
black_box:selfish,核对发票型号/数量与ERP实际生产记录,1
black_box:selfish,核对发票与信用证、装箱单、提单、检验证的一致性,1
black_box:selfish,确认型号变更是否获得买方正式批准,1
black_box:selfish,核对检验证QC-1版本及签发机构,1
black_box:selfish,核对信用证LC-1要求的单据范围,1
black_box:selfish,核对当前单据包版本（bundle_version=3）下各单据型号与数量的一致性,1
black_box:selfish,核对买方型号变更审批状态,1
black_box:selfish,比对信用证LC-1与发票INV-3、装箱单PK-1、提单BL-3、检验证QC-1的型号、数量、描述一致性,1
black_box:selfish,核对提单运输描述是否与发票/装箱单/信用证存在冲突,1
black_box:selfish,核实型号变更是否已获得买方正式批准（依据信用证条款及公开邮件/消息）,1
black_box:selfish,确认各单据版本号与单据包当前版本一致,1
black_box:selfish,核对信用证LC-1：型号MX-40，数量10套，要求发票、装箱单、提单和检验证明相互不冲突，型号变更需买方正式批准,1
black_box:selfish,核对发票INV-3：型号MX-40，数量10套，与信用证一致,1
black_box:selfish,核对装箱单PK-1：型号MX-40，数量10套，与发票及信用证一致,1
black_box:selfish,核对提单BL-3：描述为10 industrial pump sets MX-40，与装箱单、发票及信用证一致,1
black_box:selfish,核对检验证QC-1：范围为包装完整性及数量抽样，结果clear，未涉及型号适配性,1
black_box:selfish,核对买方技术邮件内容：明确说明型号变更审批仍在流程中，暂不构成正式批准,1
black_box:selfish,核对出口银行审单结论：单据一致，可继续流程,1
black_box:selfish,核对信用证LC-1与发票INV-3、装箱单PK-1、提单BL-3、检验证QC-1在型号(MX-40)及数量(10套)上的一致性,1
black_box:selfish,核对开证行、出口银行、卖方、货代、检验机构公开结论与单据包内容,1
black_box:selfish,核对MX-40B相关技术沟通邮件是否构成正式型号变更批准,1
black_box:selfish,核对信用证要求型号与实际货物型号,1
black_box:selfish,核对发票型号与装箱单、提单、检验证明的一致性,1
black_box:selfish,核实型号变更是否存在买方正式授权,1
black_box:selfish,核对提单描述与信用证/发票/装箱单型号一致性,1
black_box:selfish,确认买方对型号变更的批准状态,1
black_box:selfish,核对信用证要求的型号(MX-40)、数量(10)与发票/装箱单/提单/检验证的一致性,1
black_box:selfish,核对实际生产ERP记录的货物型号与所有单据型号的一致性,1
black_box:selfish,核对是否存在买方对型号变更的正式书面批准,2
black_box:selfish,核对单据包版本及历史修订轨迹，确认旧版本已失效,1
black_box:selfish,核对检验证QC-1的检查范围：仅包装完整性与数量抽样,1
black_box:selfish,确认当前单据包（版本3）中发票、装箱单、提单的型号与数量一致：MX-40，10套,1
black_box:selfish,确认信用证LC-1要求型号为MX-40，数量10套，与单据一致,1
black_box:selfish,确认买方邮件仅为技术意向，非正式型号变更批准,1
black_box:selfish,比对信用证(LC-1)与发票(INV-3)、装箱单(PK-1)、提单(BL-3)及检验证(QC-1)的型号与数量,1
black_box:selfish,核对型号变更是否已获得买方正式批准(信用证要求),1
black_box:selfish,确认各单据间不存在冲突描述,1
black_box:selfish,核对信用证条款：型号MX-40、数量10套、要求发票/装箱单/提单/检验证相互不冲突,1
black_box:selfish,核对当前单据包（版本3）：发票INV-3型号MX-40数量10、装箱单PK-1型号MX-40数量10、提单BL-3描述10 industrial pump sets MX-40、检验证QC-1 clear,1
black_box:selfish,审查买方邮件性质：技术人员的可行性意见，明确说明采购审批未完成且要求暂不据此安排型号变更,1
black_box:selfish,交叉比对各组织公开消息，确认型号冲突已在版本2、3中纠正,1
black_box:selfish,核对信用证LC-1与发票INV-3、装箱单PK-1、提单BL-3、检验证QC-1之间型号与数量的一致性,1
black_box:selfish,核实是否存在任何已生效的买方型号变更正式批准,1
black_box:selfish,评估买方技术邮件的法律/合同效力,1
black_box:selfish,确认当前单据包版本及是否取代旧版本,1
black_box:selfish,核对信用证要求的型号与各单据型号一致性,1
black_box:selfish,核对信用证要求的数量与各单据数量一致性,1
black_box:selfish,核对发票型号与ERP实际生产型号是否一致,1
black_box:selfish,核对装箱单、提单、检验证明与发票/信用证是否冲突,1
black_box:selfish,审核销售助理据以改单的依据是否构成正式型号变更授权,1
black_box:selfish,核对订舱记录（10套MX-40泵）与提单描述,1
black_box:selfish,提单描述'10 industrial pump sets MX series'与发票、装箱单、检验证明的MX-40型号一致性,1
black_box:selfish,确认当前无买方对型号变更的正式批准,1
black_box:selfish,核对信用证LC-1要求的货物型号与数量,1
black_box:selfish,核对发票INV-2型号/数量与装箱单PK-1、信用证LC-1的一致性,1
black_box:selfish,核对提单BL-1货物描述与发票、装箱单是否存在实质冲突,1
black_box:selfish,核对检验证明QC-1的检验范围与结果是否覆盖信用证要求,1
black_box:selfish,核对发票型号变更（MX-40→MX-40B）是否具备买方正式书面授权,1
black_box:selfish,核对订舱记录（10套MX-40泵）,1
black_box:selfish,核对提单当前运输描述（10 industrial pump sets MX series）,1
black_box:selfish,核对发票、装箱单、信用证型号一致性（均为MX-40）,1
black_box:selfish,核对检验证明范围及结果,1
black_box:selfish,核对买方邮件关于MX-40B的态度（仅为技术初评，未批准变更）,1
black_box:selfish,核对ERP实际生产记录与发票/装箱单/提单/信用证/检验证明的型号与数量一致性,1
black_box:selfish,核对销售助理改单依据(技术沟通邮件)是否构成正式型号变更授权,1
black_box:selfish,确认本组织发票版本与当前单据包版本一致,1
black_box:selfish,核对检验证明 QC-1 描述与本机构实际检验范围（包装完整性及数量抽样）的一致性,1
black_box:selfish,核对装箱单 PK-1 数量 10 与抽样记录的一致性,1
black_box:selfish,核对当前发票 INV-3（MX-40，10 台）与装箱单、信用证、提单的型号与数量是否一致,1
black_box:selfish,确认买方邮件仅为技术人员非正式意见，不构成对型号变更的正式授权,1
black_box:selfish,核对信用证(LC-1)、发票(INV-3)、装箱单(PK-1)、提单(BL-3)、检验证明(QC-1)在型号与数量上的一致性,1
black_box:selfish,核对卖方声明的型号变更授权情况与公开消息时间线,1
black_box:selfish,核对信用证LC-1（MX-40，数量10）与发票INV-3、装箱单PK-1、提单BL-3、检验证明QC-1在型号与数量上的表面一致性,1
black_box:selfish,核实信用证特殊条款（requires）——型号变更需买方正式批准,1
black_box:selfish,评估买方邮件是否构成对MX-40B的正式授权,1
black_box:selfish,核对上游组织关于型号一致性及买方邮件性质的公开声明,1
black_box:selfish,核对信用证 LC-1：型号 MX-40，数量 10，要求发票/装箱单/提单/检验证相互不冲突，型号变更需买方正式批准,1
black_box:selfish,核对装箱单 PK-1：型号 MX-40，数量 10，与信用证、发票一致,1
black_box:selfish,核对提单 BL-3：描述为 10 套 MX-40 工业泵组，与信用证、发票、装箱单一致,1
black_box:selfish,核对检验证明 QC-1：范围为包装完整性与数量抽样，结果 clear，型号数量与现行单据一致,1
black_box:selfish,审阅买方技术邮件：MX-40B 仅为技术讨论意见，采购审批未完成，不构成正式型号变更授权,1
black_box:selfish,审阅各组织公开消息：出口商已更正发票与提单描述，型号统一为 MX-40，数量 10，买方邮件不被认定为变更授权,1
black_box:selfish,核对信用证要求的型号(MX-40)与发票型号(MX-40B)的一致性,1
black_box:selfish,核对信用证数量(10套)与发票、装箱单、提单数量一致性,1
black_box:selfish,核对装箱单、提单、检验证明与发票的型号描述是否冲突,1
black_box:selfish,评估型号变更MX-40→MX-40B是否获得买方正式授权(邮件/变更函),1
black_box:selfish,核对ERP实际生产记录与单据型号,1
black_box:selfish,核对订舱记录：10套MX-40泵，与提单数量一致,1
black_box:selfish,核对提单运输描述：'10 industrial pump sets MX series'，为MX系列概括描述，未指定具体型号,1
black_box:selfish,对照信用证要求型号MX-40，提单未直接列明型号，与装箱单、发票无型号层面的冲突,1
black_box:selfish,依据承运人委托及订舱记录，确认实际装运型号为MX-40，与装箱单、发票、信用证一致,1
black_box:selfish,复核买方邮件意见：买方仅表示MX-40B'看起来可行'，明确采购审批仍在流程中，并要求暂不据此安排型号变更,1
black_box:selfish,核对检验证明QC-1的检查范围与信用证LC-1及发票INV-3型号MX-40、数量10的一致性,1
black_box:selfish,确认检验证明仅覆盖包装完整性与数量抽样，未涉及设备性能或型号适配性,1
black_box:selfish,核实当前单据包版本2下发票、装箱单、提单、检验证明之间在型号与数量层面无冲突,1
black_box:selfish,核对信用证LC-1要求(型号MX-40、数量10)与当前发票INV-3、装箱单PK-1是否一致,1
black_box:selfish,核对提单BL-1运输描述与发票、装箱单、信用证是否存在型号层面冲突,1
black_box:selfish,核对检验证明QC-1范围与结果是否覆盖信用证要求的相符性条件,1
black_box:selfish,核实买方关于型号变更的邮件仅为技术性意见而非正式授权,1
black_box:selfish,"确认本机构无虚构的外部数据库查询,审单权限基于现提供的单据包",1
black_box:selfish,核对信用证 LC-1 要求的型号 MX-40、数量 10 与发票 INV-3、装箱单 PK-1 是否一致,1
black_box:selfish,核对提单 BL-1 运输描述 '10 industrial pump sets MX series' 与信用证/发票/装箱单是否存在型号层面冲突,1
black_box:selfish,核对检验证明 QC-1 的检验范围（包装完整性及数量抽样）与结果（clear）是否覆盖信用证要求,1
black_box:selfish,核对发票当前版本 INV-3 的型号是否为 MX-40（是否已由 seller 从 MX-40B 更正）,1
black_box:selfish,评估买方邮件是否构成对 MX-40B 的正式型号变更授权,1
black_box:selfish,核对当前单据包版本是否为版本 2（workflow_execution_receipt 确认 seller 修改已实际执行）,1
black_box:selfish,核对信用证LC-1、发票INV-3、装箱单PK-1、提单BL-1、检验证明QC-1的型号与数量一致性,1
black_box:selfish,核对销售邮件性质与正式授权的差距,1
black_box:selfish,核对各组织公开审单结论,1
black_box:selfish,核对信用证（LC-1）要求的货物型号与数量,1
black_box:selfish,比对发票（INV-2）、装箱单（PK-1）、提单（BL-1）、检验证明（QC-1）的型号与数量一致性,1
black_box:selfish,核实销售助理引用的技术沟通邮件是否构成有效的型号变更授权,1
black_box:selfish,核对生产 ERP 中实际生产/备货的货物型号,1
black_box:selfish,核对订舱记录：实际承运货物为10套MX-40泵,1
black_box:selfish,比对提单运输描述与信用证要求：提单为'MX series'概括描述，与信用证'MX-40'不冲突,1
black_box:selfish,确认发票、装箱单型号一致性：当前均为MX-40，与信用证一致,1
black_box:selfish,审查检验证明范围与结论：包装完整性及数量抽样，结果clear，未涉及型号变更,1
black_box:selfish,评估买方邮件信号：买方技术称MX-40B可行但采购审批未完成，明确指示暂不安排型号变更,1
black_box:selfish,确认承运人委托：可依据订舱记录将运输描述明确为具体型号,1
black_box:selfish,核对信用证、信用证项下当前发票、装箱单、提单与检验证明的型号与数量一致性,1
black_box:selfish,核对生产ERP中本批实际生产型号与数量,1
black_box:selfish,核对提单运输描述与信用证及装箱单是否冲突,1
black_box:selfish,核对单据包版本与各组织公开消息的当前状态,1
black_box:selfish,确认信用证、发票、装箱单、提单型号与数量一致性,1
black_box:selfish,核对销售邮件内容，识别买方态度,1
black_box:selfish,确认检验证书QC-1的检查范围,1
black_box:selfish,核对信用证(LC-1)对型号MX-40、数量10的要求,1
black_box:selfish,核对发票(INV-3)型号MX-40、数量10与信用证一致性,1
black_box:selfish,核对装箱单(PK-1)型号MX-40、数量10与发票一致性,1
black_box:selfish,核对提单(BL-3)运输描述'10 industrial pump sets MX-40'与信用证及发票一致性,1
black_box:selfish,核对检验证明(QC-1)在其范围内结果clear，未与其他单据型号数量冲突,1
black_box:selfish,核对是否存在型号变更情形：信用证要求型号变更需买方正式批准,1
black_box:selfish,核对买方邮件仅为技术性口头意向，明确表示采购审批尚未完成，不得据此安排型号变更,1
black_box:selfish,核对卖方与货代历史修改为单证录入错误更正与运输描述明确化，不构成规格变更,1
black_box:selfish,核对信用证LC-1与发票INV-3、装箱单PK-1、提单BL-3、检验证明QC-1的型号与数量一致性,1
black_box:selfish,核对买方邮件对型号变更的立场,1
black_box:selfish,核对提单运输描述是否与信用证MX-40要求冲突,1
black_box:selfish,确认是否存在未经买方正式批准的型号变更,1
black_box:selfish,核对信用证LC-1要求的型号与数量,1
black_box:selfish,核对发票INV-3的型号与数量是否与信用证一致,1
black_box:selfish,核对装箱单PK-1的型号与数量是否与信用证一致,1
black_box:selfish,核对提单BL-3的运输描述与数量是否与信用证一致,1
black_box:selfish,核对检验证明QC-1的检验范围与结果,1
black_box:selfish,核对单据包内是否存在型号变更或未经批准的规格调整,1
black_box:selfish,核对买方内部采购审批状态与当前单据型号是否一致,1
black_box:selfish,核对信用证要求的型号与单据间一致性,1
black_box:selfish,核对信用证要求的数量与单据间一致性,1
black_box:selfish,核对装箱单、提单、检验证明之间的型号/数量描述是否存在冲突,1
black_box:selfish,核实型号变更是否已获得买方正式书面批准,1
black_box:selfish,核对实际生产ERP中记录的货物型号,1
black_box:selfish,核对订舱记录：10套MX-40泵，与信用证、发票、装箱单一致,1
black_box:selfish,核对提单运输描述：MX series 与装箱单/发票中具体型号 MX-40 非冲突概括，按订舱记录可解释为同型号,1
black_box:selfish,核对提单数量：10 industrial pump sets，与信用证数量10套一致,1
black_box:selfish,核对检验证明：QC-1 范围为包装完整性及数量抽样，结果 clear，与本职责相关,1
black_box:selfish,核实买方邮件内容：买方明确表示尚未批准型号变更，且要求暂不要据此安排变更,1
black_box:selfish,确认当前单据包版本为2，seller已据实际生产将发票更正为MX-40，提单描述与装箱单/发票一致无冲突,1
black_box:selfish,确认本组织已获承运人委托，MX series与MX-40非冲突概括不构成必须改单理由,1
black_box:selfish,核对检验证书 QC-1 的检验范围与信用证及现行单据的型号一致性,1
black_box:selfish,比对发票 INV-3、装箱单 PK-1、提单 BL-1 的型号与数量,1
black_box:selfish,评估卖方公开消息中关于型号变更的依据（实际生产记录）,1
black_box:selfish,核实买方技术/采购部门对型号变更的正式批准状态,1
black_box:selfish,核对发票型号与信用证、装箱单是否一致,1
black_box:selfish,核对发票数量与信用证、装箱单、提单是否一致,1
black_box:selfish,核对提单货物描述与装箱单、发票是否存在冲突,1
black_box:selfish,核对检验证明范围与当前单据一致性,1
black_box:selfish,核实型号变更是否具备买方正式授权,1
black_box:selfish,对照当前单据包版本2的发票(INV-3)、装箱单(PK-1)、提单(BL-1)与信用证(LC-1)型号一致性,1
black_box:selfish,确认检验证书(QC-1)的检查范围是否与买方/信用证要求一致,1
black_box:selfish,复核公开消息链中各方对型号变更及单据冲突的说明,1
black_box:selfish,核对信用证对型号与数量的要求,1
black_box:selfish,比对发票、装箱单、提单、检验证明之间的型号与数量一致性,1
black_box:selfish,核实ERP系统中实际生产货物型号与数量,1
black_box:selfish,评估销售助理依据技术邮件改单的授权有效性,1
black_box:selfish,核对提单运输描述：'10 industrial pump sets MX series',1
black_box:selfish,核对发票、装箱单型号：MX-40,1
black_box:selfish,核对检验证明：包装完整性及数量抽样，clear,1
black_box:selfish,核对信用证型号：MX-40,1
black_box:selfish,核对公开信息：买方邮件明确表示MX-40B尚未获采购批准，要求暂不据此变更型号,1
black_box:selfish,核对发票、装箱单、提单、检验证明中型号与数量的一致性,1
black_box:selfish,核对信用证对型号的要求与变更授权,1
black_box:selfish,核对买方对型号变更的明确态度,1
black_box:selfish,确认检验范围是否覆盖型号与性能,1
verified_certificate:resp,核对信用证 MX-40 型号、数量10套与生产 ERP 实际货物一致,1
verified_certificate:resp,核对装箱单 MX-40 型号、数量10套与 ERP 一致,1
